L1,,,,,,,,
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,67;3,0,0,0,0,0,0,0
L2,,,,,,,,
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,47,47,53;3,53;3,53;3,53;3,5,1
1,0,0,0,85,0,85,53,1
1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,58,1
1,64;3,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0
L3,,,,,,,,
0,0,0,0,0,0,0,0,0
1,5,102,102,5,102,102,5,1
5,0,0,0,0,0,0,0,5
102,0,0,0,0,0,0,0,102
102,0,0,0,0,0,0,0,102
5,0,0,0,0,0,0,0,5
1,64;13,5,5,102,102,102,5,1
0,0,0,0,0,0,0,0,0
L4,,,,,,,,
0,0,0,0,0,0,0,0,0
1,5,5,5,5,5,5,5,1
5,47,47,47,47,47,47,47,5
102,0,0,0,0,0,0,0,102
102,0,0,0,0,0,0,0,102
5,0,0,0,0,0,0,0,5
1,1,5,5,102,102,102,5,1
0,0,0,0,0,0,0,0,0
L5,,,,,,,,
0,0,0,0,0,0,0,0,0
1,5,5,5,5,5,5,5,1
5,5,5,5,5,5,5,5,5
5,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,5
5,5,5,5,5,5,5,5,5
1,1,5,5,5,5,5,5,1
L6,,,,,,,,
53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,89,89,89,89,89,89,89,1
1,89,89,89,89,89,89,89,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
53;3,53;3,53;3,53;3,53;3,53;3,53;3,53;3,53;3
L7,,,,,,,,
0,0,0,0,0,0,0,0,0
53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
53;3,53;3,53;3,53;3,53;3,53;3,53;3,53;3,53;3
0,0,0,0,0,0,0,0,0
L8,,,,,,,,
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
53;3,53;3,53;3,53;3,53;3,53;3,53;3,53;3,53;3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
L9,,,,,,,,
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2
53;3,53;3,53;3,53;3,53;3,53;3,53;3,53;3,53;3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
