L:1
17;1,17;1,17;1,17;1,17;1,17;1,17;1,17;1,17;1,17;1,17;1,17;1
2,2,2,2,2,17;1,17;1,17;1,17;1,2,2,2
2,2,2,2,2,17;1,17;1,17;1,17;1,2,2,2
2,2,3,3,3,2,2,2,2,3,3,3
2,2,3,3,3,3,3,3,3,3,3,3
2,2,3,3,3,3,3,3,3,3,3,3
2,2,3,3,3,3,3,3,3,3,3,3
2,2,3,3,3,3,3,3,5,3,3,3
2,2,3,3,3,3,3,5,65;3,5,3,3
2,2,3,3,3,3,3,3,5,3,3,3
2,2,3,3,3,3,3,3,3,3,3,3
2,2,3,3,3,3,3,3,3,3,3,3
2,2,3,3,3,3,3,3,3,3,3,3
L:2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31;2,85,0,0,0,0,38,0,0
0,0,0,0,0,0,0,0,0,0,37,0
0,0,5,5,5,53;2,53;2,53;2,53;2,5,5,5
37,0,5,5,5,5,5,5,5,5,5,5
31;1,0,5,5,5,5,5,5,5,5,5,5
0,0,5,5,5,5,5,5,5,5,5,5
0,0,5,5,5,5,5,5,5,5,5,5
0,0,5,5,35;11,35;15,35;11,35;15,65;3,35;15,5,5
0,0,5,5,35;15,35;11,35;15,35;11,35;15,35;11,35;15,5
0,0,5,5,35;11,35;15,35;11,35;15,35;11,35;15,35;11,5
0,0,5,5,35;15,35;11,35;15,35;11,35;15,35;11,5,5
0,0,5,5,5,5,5,5,5,5,5,5
L:3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,85,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,85,85,85,0,0,0,0,85,85,85
0,0,85,63;6,0,0,0,0,0,0,0,85
0,0,85,0,0,0,0,0,0,0,0,85
0,0,85,68;5,53;2,53;2,68;4,68;5,53;2,53;2,68;4,85
0,0,17;2,17;2,17;2,17;2,64;1,64;1,17;2,17;2,17;2,17;2
0,0,102,47,50;3,65;3,0,0,65;3,68;5,2,102
0,0,102,53,0,44;2,0,0,0,26;1,26;9,102
0,0,102,53,0,44;2,0,0,0,26;1,26;9,102
0,0,102,47,0,0,50;4,54;2,0,0,84,102
0,0,17;2,102,102,102,17;2,17;2,102,102,102,17;2
L:4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,85,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,85,0,50;5,0,0,0,0,50;5,0,85
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,17;2,102,102,17;2,64;8,64;9,17;2,102,102,17;2
0,0,102,47,0,65;3,0,0,65;3,0,37,102
0,0,102,0,0,0,0,0,0,0,0,102
0,0,102,0,0,0,0,0,0,0,0,102
0,0,102,47,0,0,0,0,0,0,0,102
0,0,17;2,102,102,102,102,102,102,102,102,17;2
L:5
0,0,0,0,89,0,0,0,0,0,0,0
0,0,0,0,85,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,85,0,0,0,0,0,0,0,0,85
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,50;4,0,0,50;4,0,0,50;4,0,0,50;4
0,0,17;2,102,102,17;2,17;2,17;2,17;2,102,102,17;2
50;2,0,102,47,0,65;3,0,0,65;3,0,0,102
0,0,102,0,0,0,0,0,0,0,0,102
0,0,102,0,0,0,0,0,0,0,0,102
50;2,0,102,47,0,0,0,0,0,0,0,102
0,0,17;2,102,102,102,102,102,102,102,102,17;2
L:6
0,0,0,0,85,0,0,0,0,0,0,0
0,0,0,0,85,0,0,0,0,0,0,0
0,0,50;4,0,0,50;4,0,0,50;4,0,0,50;4
0,0,5,5,5,5,5,5,5,5,5,5
0,50;1,5,5,5,5,5,5,5,5,5,5
0,0,5,5,5,5,5,5,5,5,5,5
0,0,5,5,5,5,5,5,5,5,5,5
0,0,17;2,5,5,5,5,5,5,5,5,17;2
0,50;1,5,5,5,65;3,5,5,65;3,5,5,5
0,0,5,5,5,5,5,5,5,5,5,5
0,0,5,5,5,5,5,5,5,5,5,5
0,0,5,5,5,5,5,5,5,5,5,5
0,50;1,17;2,5,5,5,5,5,5,5,5,17;2
L:7
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,85,85,85,85,85,85,85,85,85,85
0,0,85,50;5,0,0,0,0,0,0,50;5,85
0,0,85,0,68;2,68;2,0,0,68;2,68;2,0,85
0,0,85,68;5,3,2,68;4,68;5,2,3,68;4,85
0,0,85,68;5,2,2,68;4,68;5,2,2,68;4,85
0,0,85,0,50;5,65;3,0,0,65;3,50;5,0,85
0,0,85,68;5,2,2,68;4,68;5,2,2,68;4,85
0,0,85,68;5,3,2,68;4,68;5,2,3,68;4,85
0,0,85,50;5,68;3,68;3,0,0,68;3,68;3,50;5,85
0,0,85,85,85,85,85,85,85,85,85,85
L:8
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17;1,37,0,0,38,17,0,0
0,0,0,0,37,38,0,0,37,38,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,38,37,0,0,38,37,0,0
0,0,0,0,17,38,0,0,37,17;2,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
L:9
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17;1,0,0,0,0,17,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18,18,18,18,0,0,0,0,0
0,0,18,18,18,18,18,0,0,0,0,0
